ラベル,レース数,点数,投資,払戻,収支,回収率,的中率,的中数,クラス
Ｇ３,133,1064,1330000,2011440,681440,151.2,12.7,135,Ｇ３
新馬,579,4632,5790000,6266480,476480,108.2,14.1,654,新馬
3勝,415,3320,4150000,4370780,220780,105.3,15.3,508,3勝
OP(L),123,984,1230000,1293180,63180,105.1,13.8,136,OP(L)
1勝,1783,14264,17830000,15592680,-2237320,87.5,16.0,2281,1勝
2勝,905,7240,9050000,7271320,-1778680,80.3,16.0,1156,2勝
未勝利,2420,19360,24200000,19201600,-4998400,79.3,18.6,3606,未勝利
ｵｰﾌﾟﾝ,208,1664,2080000,1399320,-680680,67.3,14.8,246,ｵｰﾌﾟﾝ
Ｇ２,71,568,710000,224680,-485320,31.6,12.0,68,Ｇ２
Ｇ１,48,384,480000,128140,-351860,26.7,9.9,38,Ｇ１
