split,pattern,n_races,bet,ret,ROI%,hit%,maxDD,dailyStd,sharpe
ALL_全会場,A1,2407,240700,195500,81.2,55.5,45240,425.9,-15.83
ALL_全会場,A2,2407,240700,199110,82.7,46.3,42340,532.1,-11.66
ALL_全会場,A3,2407,240700,186140,77.3,37.8,54250,523.2,-15.55
ALL_全会場,A4,2407,722100,580750,80.4,89.0,140550,810.3,-26.02
ALL_全会場,B1,2407,240700,189680,78.8,23.8,52190,955.7,-7.96
ALL_全会場,B2,2407,240700,189760,78.8,19.7,51650,964.5,-7.88
ALL_全会場,B3,2407,240700,182100,75.7,14.9,56880,1219.1,-7.17
ALL_全会場,B4,2407,722100,561540,77.8,45.8,160150,1946.5,-12.3
ALL_全会場,C1,2407,481400,385180,80.0,55.9,95940,1165.3,-12.32
ALL_全会場,C2,2407,962800,757040,78.6,64.6,203920,2100.5,-14.61
ALL_全会場,C3,2407,722100,584290,80.9,78.6,137630,1411.1,-14.57
ALL_全会場,C4,2407,1444200,1142290,79.1,89.0,299080,2586.2,-17.41
ALL_全会場,C5,2407,722100,574940,79.6,56.0,147040,1661.4,-13.21
ALL_4会場,A1,1288,128800,105190,81.7,55.5,23240,317.3,-13.84
ALL_4会場,A2,1288,128800,106540,82.7,45.3,22670,433.7,-9.55
ALL_4会場,A3,1288,128800,104100,80.8,39.7,25440,433.6,-10.6
ALL_4会場,A4,1288,386400,315830,81.7,89.4,70170,677.5,-19.38
ALL_4会場,B1,1288,128800,107730,83.6,23.1,24840,960.3,-4.08
ALL_4会場,B2,1288,128800,105060,81.6,20.0,24330,814.1,-5.42
ALL_4会場,B3,1288,128800,109160,84.8,15.3,19050,1098.1,-3.33
ALL_4会場,B4,1288,386400,321950,83.3,46.0,64270,1877.7,-6.38
ALL_4会場,C1,1288,257600,212920,82.7,55.7,44940,1131.7,-7.34
ALL_4会場,C2,1288,515200,427140,82.9,64.9,86870,2027.2,-8.08
ALL_4会場,C3,1288,386400,319460,82.7,78.0,67350,1369.6,-9.09
ALL_4会場,C4,1288,772800,637780,82.5,89.4,134440,2444.2,-10.28
ALL_4会場,C5,1288,386400,317980,82.3,55.8,68140,1546.4,-8.23
2024_全会場,A1,2407,240700,195500,81.2,55.5,45240,425.9,-15.83
2024_全会場,A2,2407,240700,199110,82.7,46.3,42340,532.1,-11.66
2024_全会場,A3,2407,240700,186140,77.3,37.8,54250,523.2,-15.55
2024_全会場,A4,2407,722100,580750,80.4,89.0,140550,810.3,-26.02
2024_全会場,B1,2407,240700,189680,78.8,23.8,52190,955.7,-7.96
2024_全会場,B2,2407,240700,189760,78.8,19.7,51650,964.5,-7.88
2024_全会場,B3,2407,240700,182100,75.7,14.9,56880,1219.1,-7.17
2024_全会場,B4,2407,722100,561540,77.8,45.8,160150,1946.5,-12.3
2024_全会場,C1,2407,481400,385180,80.0,55.9,95940,1165.3,-12.32
2024_全会場,C2,2407,962800,757040,78.6,64.6,203920,2100.5,-14.61
2024_全会場,C3,2407,722100,584290,80.9,78.6,137630,1411.1,-14.57
2024_全会場,C4,2407,1444200,1142290,79.1,89.0,299080,2586.2,-17.41
2024_全会場,C5,2407,722100,574940,79.6,56.0,147040,1661.4,-13.21
2024_4会場,A1,1288,128800,105190,81.7,55.5,23240,317.3,-13.84
2024_4会場,A2,1288,128800,106540,82.7,45.3,22670,433.7,-9.55
2024_4会場,A3,1288,128800,104100,80.8,39.7,25440,433.6,-10.6
2024_4会場,A4,1288,386400,315830,81.7,89.4,70170,677.5,-19.38
2024_4会場,B1,1288,128800,107730,83.6,23.1,24840,960.3,-4.08
2024_4会場,B2,1288,128800,105060,81.6,20.0,24330,814.1,-5.42
2024_4会場,B3,1288,128800,109160,84.8,15.3,19050,1098.1,-3.33
2024_4会場,B4,1288,386400,321950,83.3,46.0,64270,1877.7,-6.38
2024_4会場,C1,1288,257600,212920,82.7,55.7,44940,1131.7,-7.34
2024_4会場,C2,1288,515200,427140,82.9,64.9,86870,2027.2,-8.08
2024_4会場,C3,1288,386400,319460,82.7,78.0,67350,1369.6,-9.09
2024_4会場,C4,1288,772800,637780,82.5,89.4,134440,2444.2,-10.28
2024_4会場,C5,1288,386400,317980,82.3,55.8,68140,1546.4,-8.23
